Dataset,Repeat,Method,Accuracy,Balanced_Accuracy,GMean,F1,MCC,ROC_AUC,Sensitivity,Specificity,Minority_Recall
abalone19,2,Residual-Guided GMM,0.7767129851461427,0.7169468252052149,0.689353035825162,0.04129199038234354,0.08839305573866593,0.8080486479961371,0.65625,0.7776436504104298,0.65625
abalone19,3,Original GB,0.9892189746046958,0.49843070980202797,0.0,0.0,-0.004818129946069517,0.7817705818445195,0.0,0.9968614196040559,0.0
abalone19,3,Random US,0.6612362242453282,0.5967452317720908,0.5930155712783485,0.023552330022918257,0.03572568852323904,0.6358567720907774,0.53125,0.6622404635441816,0.53125
abalone19,3,Cluster US,0.7585050311451844,0.6767639425398358,0.6693800210981218,0.03622425093632958,0.0717796785118854,0.7555604176726218,0.59375,0.7597778850796717,0.59375
abalone19,3,SMOTE,0.9151892668902731,0.6316770280057944,0.5615850782669062,0.058399341339465685,0.08340931920810923,0.7805181675519073,0.34375,0.9196040560115886,0.34375
abalone19,3,Residual-Guided GMM,0.7728797316722569,0.7460239618541767,0.7432374348244895,0.046100505792135746,0.10170136969973913,0.7996740704973444,0.71875,0.7732979237083535,0.71875
winequality-red-4,1,Original GB,0.9593515331664582,0.5411543621440129,0.28869087410119415,0.12427325581395349,0.11841251967507585,0.7408568385282486,0.0933048433048433,0.9890038809831825,0.0933048433048433
winequality-red-4,1,Random US,0.6435090738423028,0.6433793854557115,0.6405415226776916,0.10628315781138649,0.10634114831754336,0.6962937163454628,0.6431623931623931,0.6435963777490298,0.6431623931623931
winequality-red-4,1,Cluster US,0.5653731226533166,0.6111760705874548,0.6088456314420922,0.09176258893986429,0.08024158726743486,0.6830654791521544,0.6602564102564102,0.5620957309184994,0.6602564102564102
winequality-red-4,1,SMOTE,0.90056711514393,0.5840207059482609,0.47529937794966926,0.14047451256753582,0.10943497806345341,0.6806094580997557,0.245014245014245,0.9230271668822768,0.245014245014245
winequality-red-4,1,Residual-Guided GMM,0.6109934292866082,0.6630174183537703,0.6584108089589501,0.10858602504943968,0.11872238259956575,0.7106096792383985,0.7186609686609686,0.6073738680465718,0.7186609686609686
winequality-red-4,2,Original GB,0.9574749687108886,0.513376584366235,0.19321367497158198,0.05572755417956656,0.04488946045343952,0.6978730148199747,0.03774928774928775,0.9890038809831825,0.03774928774928775
winequality-red-4,2,Random US,0.6985035982478098,0.6360965528171221,0.6177894491904419,0.1120254208072905,0.10760749626350005,0.6946987538837474,0.569088319088319,0.703104786545925,0.569088319088319
winequality-red-4,2,Cluster US,0.5659073842302879,0.59576455000129,0.5638798565084633,0.08375254521499581,0.0696645739760462,0.677221890514258,0.6274928774928774,0.5640362225097024,0.6274928774928774
winequality-red-4,2,SMOTE,0.9055616395494368,0.5412165573873207,0.3749908801447558,0.09622587150677038,0.05780020378400274,0.6872344032758004,0.150997150997151,0.9314359637774903,0.150997150997151
winequality-red-4,2,Residual-Guided GMM,0.6640941802252815,0.6090167438809094,0.5911239755530306,0.10056962025316456,0.08578328050966283,0.6931203768202475,0.5498575498575499,0.6681759379042691,0.5498575498575499
winequality-red-4,3,Original GB,0.9618507509386733,0.5152843658665134,0.13564193705105648,0.058823529411764705,0.05826821049162222,0.7100425507605327,0.037037037037037035,0.9935316946959897,0.037037037037037035
winequality-red-4,3,Random US,0.6785395807259074,0.6343269829686389,0.6290984993358335,0.10698687314742,0.10182151530918115,0.6720375714554239,0.5868945868945868,0.6817593790426908,0.5868945868945868
winequality-red-4,3,Cluster US,0.6254231852315394,0.6518720307530139,0.65125013210428,0.10952252252252252,0.11284621291253284,0.6865567054764985,0.6801994301994302,0.6235446313065977,0.6801994301994302
winequality-red-4,3,SMOTE,0.8986795994993743,0.6116386189154623,0.5171327241242112,0.15918989547038326,0.13633480913194335,0.70662457661164,0.3041310541310541,0.9191461836998707,0.3041310541310541
winequality-red-4,3,Residual-Guided GMM,0.6435434918648311,0.6884147307821304,0.686734176237298,0.12102203182374541,0.13984652725820812,0.7499861788348205,0.7364672364672364,0.6403622250970246,0.7364672364672364
shuttle-2_vs_5,1,Original GB,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
shuttle-2_vs_5,1,Random US,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
shuttle-2_vs_5,1,Cluster US,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
shuttle-2_vs_5,1,SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
shuttle-2_vs_5,1,Residual-Guided GMM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
shuttle-2_vs_5,2,Original GB,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
shuttle-2_vs_5,2,Random US,0.9873341375150784,0.9935701163502756,0.9935282325766942,0.7717391304347826,0.8014703497402205,1.0,1.0,0.9871402327005512,1.0
shuttle-2_vs_5,2,Cluster US,0.9873341375150784,0.9935701163502756,0.9935282325766942,0.7717391304347826,0.8014703497402205,1.0,1.0,0.9871402327005512,1.0
shuttle-2_vs_5,2,SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
shuttle-2_vs_5,2,Residual-Guided GMM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
shuttle-2_vs_5,3,Original GB,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
shuttle-2_vs_5,3,Random US,0.9978890229191797,0.9989290085679314,0.9989278590817829,0.9363636363636363,0.9389979868287426,1.0,1.0,0.9978580171358629,1.0
shuttle-2_vs_5,3,Cluster US,0.988238841978287,0.9940293937538274,0.9939933134707668,0.7808988764044944,0.8087458209192293,1.0,1.0,0.9880587875076546,1.0
shuttle-2_vs_5,3,SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
shuttle-2_vs_5,3,Residual-Guided GMM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ecoli1,1,Original GB,0.8958333333333333,0.855616231993221,0.8497850445756611,0.7707985299031073,0.7067854446599865,0.9415582598416137,0.7807017543859649,0.9305307096004771,0.7807017543859649
ecoli1,1,Random US,0.8779761904761905,0.8713084141480714,0.8688549473487558,0.7627255588472933,0.6949556355041162,0.9178575725240352,0.8582995951417004,0.8843172331544424,0.8582995951417004
ecoli1,1,Cluster US,0.8869047619047619,0.886037096318614,0.8848878368638473,0.7815482502651114,0.7179743779917804,0.9317706535270794,0.8839406207827261,0.888133571854502,0.8839406207827261
ecoli1,1,SMOTE,0.8898809523809523,0.8743448513950349,0.8725140199432173,0.7774741081703107,0.7114435595487136,0.9483891975018046,0.8451417004048583,0.9035480023852116,0.8451417004048583
ecoli1,1,Residual-Guided GMM,0.8898809523809523,0.8834580861814643,0.8822652312526215,0.7825431625102768,0.7180129067721707,0.9480108851436881,0.8711201079622132,0.8957960644007155,0.8711201079622132
ecoli1,2,Original GB,0.8898809523809523,0.8467917333584408,0.8422617582003822,0.7610944277610945,0.6917785868874109,0.9409278264235426,0.7668690958164642,0.9267143709004174,0.7668690958164642
ecoli1,2,Random US,0.8720238095238095,0.8674175375827763,0.8655421956042084,0.7529504327301337,0.6805147959589307,0.8897475127891284,0.8582995951417004,0.8765354800238521,0.8582995951417004
ecoli1,2,Cluster US,0.8303571428571428,0.7896918055424788,0.7854641009886444,0.6668115942028986,0.562678065096689,0.847520112146795,0.7142375168690958,0.8651460942158616,0.7142375168690958
ecoli1,2,SMOTE,0.8839285714285714,0.8567146847440605,0.8540863506023479,0.7603443068559348,0.6886891040549974,0.9329737208256179,0.8060053981106613,0.9074239713774597,0.8060053981106613
ecoli1,2,Residual-Guided GMM,0.8988095238095238,0.8892720396698364,0.8876735773461899,0.7968994453136111,0.7378911516754335,0.961111111111111,0.8711201079622132,0.9074239713774597,0.8711201079622132
ecoli1,3,Original GB,0.8660714285714286,0.8175932900229106,0.8119513195484386,0.7142624552263106,0.6299763964461841,0.9405063605645001,0.7277327935222673,0.9074537865235539,0.7277327935222673
ecoli1,3,Random US,0.8660714285714286,0.8811529046229168,0.8806719032344938,0.7578947368421053,0.6875475863195445,0.9107135758298548,0.9089068825910931,0.8533989266547406,0.9089068825910931
ecoli1,3,Cluster US,0.8779761904761905,0.8614756928098422,0.8609298304599666,0.7580554777248529,0.6825179825101452,0.9387289593990941,0.8309716599190283,0.8919797257006559,0.8309716599190283
ecoli1,3,SMOTE,0.8839285714285714,0.869962809528293,0.8695681179652037,0.7693277310924369,0.6976681898266881,0.9460079088598059,0.8441295546558705,0.8957960644007155,0.8441295546558705
ecoli1,3,Residual-Guided GMM,0.8779761904761905,0.8750761070834511,0.8750481746001563,0.7659352142110762,0.6942002368745971,0.9546835933004845,0.869770580296896,0.880381633870006,0.869770580296896
