Dataset,Repeat,Fold,Method,Accuracy,Balanced_Accuracy,GMean,F1,MCC,ROC_AUC,Sensitivity,Specificity,Minority_Recall,TN,FP,FN,TP
pima,3,1,Cluster US,0.7317708333333334,0.736865671641791,0.7366726322893902,0.6622950819672131,0.45432503249452705,0.811910447761194,0.753731343283582,0.72,0.753731343283582,180,70,33,101
pima,3,1,SMOTE,0.75,0.7404776119402985,0.7398063481991898,0.6643356643356644,0.468771568383531,0.8113134328358209,0.7089552238805971,0.772,0.7089552238805971,193,57,39,95
pima,3,1,Residual-Guided GMM,0.7447916666666666,0.7537910447761194,0.7532021195109723,0.6818181818181818,0.4860091226398635,0.8194029850746269,0.7835820895522388,0.724,0.7835820895522388,181,69,29,105
pima,3,2,Original GB,0.7473958333333334,0.7038507462686567,0.6889316843284549,0.6072874493927125,0.4264232125468312,0.8279402985074629,0.5597014925373134,0.848,0.5597014925373134,212,38,59,75
pima,3,2,Random US,0.7526041666666666,0.7494029850746269,0.749328057204208,0.6757679180887372,0.48268546939742063,0.8300000000000001,0.7388059701492538,0.76,0.7388059701492538,190,60,35,99
pima,3,2,Cluster US,0.7447916666666666,0.7226268656716418,0.7188921825623462,0.6397058823529411,0.4423060444932889,0.8168955223880596,0.6492537313432836,0.796,0.6492537313432836,199,51,47,87
pima,3,2,SMOTE,0.75,0.7335522388059701,0.7315287611285075,0.6546762589928058,0.4598853415398061,0.8156417910447762,0.6791044776119403,0.788,0.6791044776119403,197,53,43,91
pima,3,2,Residual-Guided GMM,0.7604166666666666,0.7623283582089553,0.7623020907828735,0.6912751677852349,0.505550304095654,0.8264477611940299,0.7686567164179104,0.756,0.7686567164179104,189,61,31,103
abalone19,1,1,Original GB,0.9899377096310493,0.4987928536938677,0.0,0.0,-0.0043073938283852775,0.7497887493964269,0.0,0.9975857073877354,0.0,2066,5,16,0
abalone19,1,1,Random US,0.5975083852419741,0.6111479961371318,0.6109909943455917,0.023255813953488372,0.03950707584244839,0.5919241912119748,0.625,0.5972959922742637,0.625,1237,834,6,10
